country_name,2000,2005,2010,2015,2020,2022
United States,13754300444000.0,15600241891000.0,16383037055000.0,18206020741000.0,19377380521000.0,20952693656000.0
China,2770113054357.83,4420544703537.24,7554112468317.73,11061573199439.7,14616414450558.4,16325209299766.8
Japan,3986755544464.21,4229100705435.47,4218907820177.17,4444930651964.18,4369042849289.97,4508552958215.83
Germany,2835481139992.39,2912034089955.56,3087971590525.68,3357585719351.56,3463685430302.1,3618134373392.27
United Kingdom,2307855285267.75,2599922287719.73,2660406373660.76,2934857946213.47,2824026234231.55,3163211887705.84
India,800534474756.832,1094324346478.24,1535897922371.19,2103588347241.77,2532396288465.75,2954977663032.88
France,2046499571261.18,2224791087607.91,2317567536989.14,2439188643162.5,2413104454442.24,2643644021240.64
Italy,1842128690356.25,1927935754486.25,1900325748105.62,1836637711060.55,1745923826171.76,1936547127835.55
Brazil,1186418964199.44,1368459094901.49,1703150040890.25,1802211999555.59,1760056385384.55,1901460783780.31
Canada,1163709866262.96,1321656178498.24,1399510148706.66,1556508816217.14,1610230109741.6,1748359095258.66
